discipline,Freq,delvar
Acoustics,108,0
Aerospace & Aeronautics,90,0
Agricultural Economics & Policy,51,0
Agronomy & Agriculture,147,0
Allergy,113,0
Analytical Chemistry,224,0
Anesthesiology,165,0
Anthropology,83,0
Applied Mathematics,121,0
Applied Physics,691,0
Arthritis & Rheumatology,169,0
Artificial Intelligence & Image Processing,623,0
Astronomy & Astrophysics,752,0
Behavioral Science & Comparative Psychology,207,0
Biochemistry & Molecular Biology,1687,0
Bioinformatics,145,0
Biomedical Engineering,149,0
Biophysics,163,0
Biotechnology,90,0
Business & Management,438,0
Cardiovascular System & Hematology,1488,0
Chemical Engineering,130,0
Chemical Physics,653,0
Clinical Psychology,206,0
Communication & Media Studies,61,0
Computation Theory & Mathematics,129,0
Computer Hardware & Architecture,76,0
Criminology,111,0
Dairy & Animal Science,92,0
Dentistry,191,0
Dermatology & Venereal Diseases,239,0
Developmental & Child Psychology,425,0
Developmental Biology,1500,0
Ecology,678,0
Economics,464,0
Education,174,0
Electrical & Electronic Engineering,96,0
Emergency & Critical Care Medicine,183,0
Endocrinology & Metabolism,900,0
Energy,327,0
Entomology,126,0
Environmental Engineering,154,0
Environmental Sciences,134,0
Epidemiology,176,0
Evolutionary Biology,348,0
Experimental Psychology,576,0
Finance,105,0
Fisheries,82,0
Fluids & Plasmas,478,0
Food Science,88,0
Gastroenterology & Hepatology,540,0
General & Internal Medicine,372,0
General Chemistry,227,0
General Mathematics,176,0
General Physics,441,0
General Science & Technology,107,0
Genetics & Heredity,269,0
Geochemistry & Geophysics,704,0
Geography,85,0
Geological & Geomatics Engineering,122,0
Geriatrics,87,0
Gerontology,84,0
Health Policy & Services,162,0
Immunology,1403,0
Industrial Engineering & Automation,233,0
Information Systems,141,0
Inorganic & Nuclear Chemistry,156,0
Marine Biology & Hydrobiology,298,0
Marketing,112,0
Materials,344,0
Mechanical Engineering & Transports,242,0
Medicinal & Biomolecular Chemistry,136,0
Meteorology & Atmospheric Sciences,899,0
Microbiology,997,0
Mycology & Parasitology,66,0
Nanoscience & Nanotechnology,260,0
Networking & Telecommunications,377,0
Neurology & Neurosurgery,2835,0
Nuclear & Particles Physics,623,0
Nuclear Medicine & Medical Imaging,545,0
Numerical & Computational Mathematics,81,0
Nursing,96,0
Nutrition & Dietetics,248,0
Obstetrics & Reproductive Medicine,365,0
Oceanography,99,0
Oncology & Carcinogenesis,1895,0
Operations Research,150,0
Ophthalmology & Optometry,423,0
Optics,184,0
Organic Chemistry,391,0
Orthopedics,387,0
Otorhinolaryngology,162,0
Paleontology,157,0
Pathology,186,0
Pediatrics,306,0
Pharmacology & Pharmacy,300,0
Physical Chemistry,58,0
Physiology,243,0
Plant Biology & Botany,401,0
Political Science & Public Administration,199,0
Polymers,166,0
Psychiatry,850,0
Public Health,515,0
Rehabilitation,97,0
Respiratory System,450,0
Social Psychology,394,0
Social Sciences Methods,57,0
Sociology,133,0
Software Engineering,118,0
Speech-Language Pathology & Audiology,50,0
Sport Sciences,99,0
Statistics & Probability,231,0
"Strategic, Defence & Security Studies",54,0
Substance Abuse,233,0
Surgery,451,0
Toxicology,245,0
Tropical Medicine,81,0
Urology & Nephrology,588,0
Veterinary Sciences,128,0
Virology,448,0
